"Url","Name","ItemCount","Status"
"/sites/CFRP-A/Shared Documents/A/EML Branding - templates and backgrounds","EML Branding - templates and backgrounds","5"
"/sites/CFRP-A/Shared Documents/A/Registers","Registers","3"
"/sites/CFRP-A/Shared Documents/A/Government Authorities and Regulators","Government Authorities and Regulators","3"
"/sites/CFRP-A/Shared Documents/A/Issuing Banks","Issuing Banks","1"
"/sites/CFRP-A/Shared Documents/A/Forms, Templates and Guides","Forms, Templates and Guides","15"
"/sites/CFRP-A/Shared Documents/A/Marketing and Disclaimer Guides","Marketing and Disclaimer Guides","7"
"/sites/CFRP-A/Shared Documents/A/Board Reporting","Board Reporting","4"
"/sites/CFRP-A/Shared Documents/A/Staff Folders","Staff Folders","0"
"/sites/CFRP-A/Shared Documents/A/Cardholder Complaints","Cardholder Complaints","6"
"/sites/CFRP-A/Shared Documents/A/AML CTF","AML CTF","13"
"/sites/CFRP-A/Shared Documents/A/FBT Card Documentation","FBT Card Documentation","5"
"/sites/CFRP-A/Shared Documents/A/2 Templates","2 Templates","3"
"/sites/CFRP-A/Shared Documents/A/Memos and Advice","Memos and Advice","3"
"/sites/CFRP-A/Shared Documents/A/AFSL Compliance","AFSL Compliance","5"
"/sites/CFRP-A/Shared Documents/A/Staff Training","Staff Training","6"
"/sites/CFRP-A/Shared Documents/A/Compliance","Compliance","45"
"/sites/CFRP-A/Shared Documents/A/PBI KYB","PBI KYB","1"
"/sites/CFRP-A/Shared Documents/A/Clients","Clients","45"
"/sites/CFRP-A/Shared Documents/A/KYC","KYC","2"
"/sites/CFRP-A/Shared Documents/A/Legislation and Regulatory Guides","Legislation and Regulatory Guides","17"
"/sites/CFRP-A/Shared Documents/A/4 AML-CTF Monitoring","4 AML-CTF Monitoring","5"
"/sites/CFRP-A/Shared Documents/A/Operational Risk","Operational Risk","11"
"/sites/CFRP-A/Shared Documents/A/5 SQL Library","5 SQL Library","2"
"/sites/CFRP-A/Shared Documents/A/7 Fraud Loss Tracker","7 Fraud Loss Tracker","1"
"/sites/CFRP-A/Shared Documents/A/6 Emails","6 Emails","2"
"/sites/CFRP-A/Shared Documents/A/Magpie","Magpie","1"
"/sites/CFRP-A/Shared Documents/A/Pays Material","Pays Material","12"
"/sites/CFRP-A/Shared Documents/A/1 Resource Library","1 Resource Library","6"
"/sites/CFRP-A/Shared Documents/A/Document Templates","Document Templates","4"
"/sites/CFRP-A/Shared Documents/A/3 Fraud Monitoring","3 Fraud Monitoring","4"
"/sites/CFRP-A/Shared Documents/A/Mastercard","Mastercard","8"
"/sites/CFRP-A/Shared Documents/A/Schemes","Schemes","2"
"/sites/CFRP-A/Shared Documents/A/Due Dilligence & Risk Assesment","Due Dilligence & Risk Assesment","15"
"/sites/CFRP-A/Shared Documents/A/Compliance Policies and Procedures","Compliance Policies and Procedures","6"
"/sites/CFRP-E/Shared Documents/E/Client Contacts","Client Contacts","1"
"/sites/CFRP-E/Shared Documents/E/Products","Products","5"
"/sites/CFRP-E/Shared Documents/E/AML Policy Suite 2019","AML Policy Suite 2019","2"
"/sites/CFRP-E/Shared Documents/E/AML Training Folder","AML Training Folder","3"
"/sites/CFRP-E/Shared Documents/E/Ireland","Ireland","1"
"/sites/CFRP-E/Shared Documents/E/UAE","UAE","0"
"/sites/CFRP-E/Shared Documents/E/Poland","Poland","0"
"/sites/CFRP-E/Shared Documents/E/AML STR Reports","AML STR Reports","6"
"/sites/CFRP-E/Shared Documents/E/Guides","Guides","8"
"/sites/CFRP-E/Shared Documents/E/Complaints","Complaints","2"
"/sites/CFRP-E/Shared Documents/E/Compliance","Compliance","1"
"/sites/CFRP-E/Shared Documents/E/EML - GDPR Contract Clauses","EML - GDPR Contract Clauses","8"
"/sites/CFRP-E/Shared Documents/E/Legal, Regulatory & Compliance (EML EUR)","Legal, Regulatory & Compliance (EML EUR)","20"
"/sites/CFRP-E/Shared Documents/E/AML CTF Training Modules","AML CTF Training Modules","2"
"/sites/CFRP-E/Shared Documents/E/UK","UK","1"
"/sites/CFRP-E/Shared Documents/E/Templates","Templates","4"
"/sites/CFRP-E/Shared Documents/E/Remote Working (EML EU)","Remote Working (EML EU)","68"
"/sites/CFRP-E/Shared Documents/E/GDPR - Shoosmiths Docs","GDPR - Shoosmiths Docs","7"
"/sites/CFRP-G/Shared Documents/G/1 Board Papers","1 Board Papers","4"
"/sites/CFRP-G/Shared Documents/G/2 Acquistion Assessments","2 Acquistion Assessments","1"
"/sites/CFRP-U/Shared Documents/U/2 Policies and Procedures","2 Policies and Procedures","4"
"/sites/CFRP-U/Shared Documents/U/3 PVP","3 PVP","2"
